id,Distrito,Personas contagiadas,Incidencia*,Personas fallecidas
110210,SUNAMPE,906.0,2600.68,7.0
110201,CHINCHA ALTA,2445.0,2980.76,26.0
110207,PUEBLO NUEVO,2018.0,2597.34,8.0
110301,NAZCA,1223.0,3856.1,1.0
110302,CHANGUILLO,27.0,1164.8,
110303,EL INGENIO,10.0,261.1,
110304,MARCONA,13.0,66.16,
110305,VISTA ALEGRE,582.0,2205.8,
110401,PALPA,169.0,1869.47,
110402,LLIPATA,38.0,2054.05,
110403,RIO GRANDE,20.0,663.13,
110405,TIBILLO,,,
110501,PISCO,852.0,1012.89,1.0
110404,SANTA CRUZ,2.0,186.39,
110102,LA TINGUIÑA,463.0,927.93,
110103,LOS AQUIJES,252.0,935.38,
110104,OCUCAJE,142.0,2542.07,2.0
110105,PACHACUTEC,79.0,887.54,
110106,PARCONA,886.0,1402.61,1.0
110110,SAN JUAN BAUTISTA,299.0,1853.23,
110111,SANTIAGO,581.0,1773.94,
110502,HUANCANO,,,
110202,ALTO LARAN,133.0,1396.33,1.0
110203,CHAVIN,,,
110204,CHINCHA BAJA,159.0,1038.6,
110205,EL CARMEN,108.0,741.66,1.0
110206,GROCIO PRADO,598.0,1938.41,3.0
110208,SAN JUAN DE YANAC,,,
110209,SAN PEDRO DE HUACARPANA,,,
110211,TAMBO DE MORA,86.0,1239.01,
110112,SUBTANJALLA,565.0,1634.27,1.0
110113,TATE,140.0,2533.48,
110114,YAUCA DEL ROSARIO,10.0,739.1,
110101,ICA,2611.0,1436.34,1.0
110503,HUMAY,14.0,227.94,
110504,INDEPENDENCIA,61.0,399.06,
110505,PARACAS,27.0,266.32,
110506,SAN ANDRES,119.0,696.93,
110507,SAN CLEMENTE,298.0,962.78,1.0
110508,TUPAC AMARU INCA,360.0,1763.15,
110108,SALAS,430.0,1344.67,
110109,SAN JOSE DE LOS MOLINOS,222.0,2584.4,
