id,Distrito,Personas contagiadas,Incidencia*,Personas fallecidas
13.0,ANCON,321.0,352.09,
38.0,ATE,1390.0,194.92,1.0
25.0,BARRANCO,12.0,31.98,
11.0,BELLAVISTA,,,
16.0,BREÑA,17.0,17.36,
15.0,CARABAYLLO,604.0,141.46,
14.0,CARMEN DE LA LEGUA REYNOSO,,,
40.0,CHACLACAYO,659.0,1425.64,
26.0,CHORRILLOS,118.0,31.61,
18.0,CIENEGUILLA,110.0,270.38,
44.0,COMAS,1122.0,187.54,1.0
36.0,EL AGUSTINO,137.0,58.61,
37.0,INDEPENDENCIA,317.0,136.21,
6.0,JESUS MARIA,46.0,52.94,
12.0,LA MOLINA,162.0,95.95,
5.0,LA PERLA,,,
3.0,LA PUNTA,,,
9.0,LA VICTORIA,59.0,30.16,
34.0,LIMA,149.0,53.89,
1.0,LINCE,48.0,75.17,
41.0,LOS OLIVOS,192.0,52.35,
43.0,LURIGANCHO,941.0,309.57,1.0
20.0,LURIN,102.0,88.44,
49.0,MAGDALENA DEL MAR,19.0,27.34,
31.0,MI PERÚ,,,
30.0,MIRAFLORES,20.0,17.16,
7.0,PACHACAMAC,204.0,133.17,
19.0,PUCUSANA,15.0,83.87,
4.0,PUEBLO LIBRE,39.0,39.16,
48.0,PUENTE PIEDRA,894.0,214.63,
23.0,PUNTA HERMOSA,3.0,13.0,
24.0,PUNTA NEGRA,,,
35.0,RIMAC,663.0,353.67,
21.0,SAN BARTOLO,8.0,84.89,
2.0,SAN BORJA,27.0,20.25,
50.0,SAN ISIDRO,17.0,23.93,
46.0,SAN JUAN DE LURIGANCHO,3000.0,241.84,
27.0,SAN JUAN DE MIRAFLORES,2083.0,483.55,
10.0,SAN LUIS,8.0,59.04,
42.0,SAN MARTIN DE PORRES,524.0,67.0,1.0
8.0,SAN MIGUEL,26.0,14.16,
33.0,SANTA ANITA,98.0,42.11,
22.0,SANTA MARIA DEL MAR,1.0,79.94,
47.0,SANTA ROSA,34.0,81.69,
32.0,SANTIAGO DE SURCO,104.0,24.37,
29.0,SURQUILLO,18.0,17.17,
45.0,VENTANILLA,,,
17.0,VILLA EL SALVADOR,172.0,38.93,
28.0,VILLA MARIA DEL TRIUNFO,708.0,154.25,
,BARRANCA,4.0,5.31,
,SUPE,5.0,18.58,
,SUPE PUERTO,56.0,401.69,1.0
,CANTA,7.0,321.1,
,SANTA ROSA DE QUIVES,2.0,34.76,
,ASIA,11.0,97.35,
,CERRO AZUL,4.0,42.15,
,CHILCA,17.0,67.3,
,IMPERIAL,24.0,59.82,
,LUNAHUANA,1.0,24.61,
,MALA,388.0,1101.12,1.0
,NUEVO IMPERIAL,19.0,63.16,
,QUILMANA,300.0,1773.99,
,SAN ANTONIO,7.0,145.83,
,SAN VICENTE DE CAÑETE,40.0,63.35,
,SANTA CRUZ DE FLORES,1.0,30.28,
,AUCALLAMA,2.0,9.01,
,CHANCAY,3.0,4.74,
,HUARAL,12.0,10.9,
,HUAROCHIRI,7.0,589.23,
,MATUCANA,1.0,25.48,
,RICARDO PALMA,14.0,211.23,
,SAN DAMIAN,1.0,91.83,
,SAN MATEO,3.0,79.01,
,SAN MATEO DE OTAO,2.0,157.11,
,SANTA CRUZ DE COCACHACRA,2.0,76.98,
,SANTA EULALIA,23.0,173.73,
,SANTO DOMINGO DE LOS OLLEROS,2.0,59.05,
,SURCO,2.0,152.09,
,HUACHO,4.0,5.49,
,HUALMAY,2.0,6.79,
,HUAURA,2.0,5.24,
,SANTA MARIA,11.0,26.92,
,SAYAN,1.0,3.92,
,ANDAJES,1.0,225.73,
,OYON,1.0,8.66,
,PACHANGARA,4.0,175.05,
,ALLAUCA,1.0,102.56,
,HUANCAYA,1.0,216.45,
,YAUYOS,2.0,172.71,
