id,Distrito,Personas contagiadas,Incidencia*,Personas fallecidas
160601,CONTAMANA,439.0,1513.79,
160602,INAHUAYA,30.0,1722.16,
160603,PADRE MARQUEZ,11.0,323.43,
160604,PAMPA HERMOSA,4.0,65.46,
160804,YAGUAS,,,
160802,ROSA PANDURO,3.0,505.05,
160502,ALTO TAPICHE,3.0,178.04,
160503,CAPELO,,,
160504,EMILIO SAN MARTIN,50.0,725.69,
160505,MAQUIA,18.0,205.13,
160506,PUINAHUA,2.0,43.73,
160507,SAQUENA,,,
160508,SOPLIN,,,
160101,IQUITOS,1043.0,630.94,
160102,ALTO NANAY,4.0,114.81,
160103,FERNANDO LORES,36.0,257.71,
160305,URARINAS,7.0,49.3,
160401,RAMON CASTILLA,384.0,1539.45,
160402,PEBAS,36.0,280.83,
160403,YAVARI,7.0,67.51,
160404,SAN PABLO,15.0,113.83,
160501,REQUENA,164.0,574.87,
160509,TAPICHE,,,
160510,JENARO HERRERA,120.0,2357.56,
160511,YAQUERANA,1.0,44.76,
160605,SARAYACU,256.0,1679.68,
160606,VARGAS GUERRA,25.0,321.75,1.0
160701,BARRANCA,430.0,2518.15,
160702,CAHUAPANAS,1.0,11.67,
160703,MANSERICHE,47.0,459.57,
160704,MORONA,116.0,2255.05,
160705,PASTAZA,14.0,210.68,
160104,INDIANA,32.0,268.39,
160105,LAS AMAZONAS,8.0,93.43,
160106,MAZAN,33.0,227.07,
160107,NAPO,9.0,49.48,
160202,BALSAPUERTO,24.0,127.93,
160205,JEBEROS,36.0,707.41,
160206,LAGUNAS,270.0,1871.23,
160210,SANTA CRUZ,5.0,110.04,
160211,TENIENTE CESAR LOPEZ ROJAS,27.0,410.52,
160301,NAUTA,115.0,328.46,
160302,PARINARI,48.0,770.71,
160303,TIGRE,21.0,265.89,
160304,TROMPETEROS,21.0,185.73,
160108,PUNCHANA,1165.0,1271.76,
160801,PUTUMAYO,160.0,3572.23,
160110,TORRES CAUSANA,3.0,56.52,
160112,BELEN,262.0,362.77,
160113,SAN JUAN BAUTISTA,656.0,413.37,
160803,TENIENTE MANUEL CLAVERO,112.0,4637.68,
160201,YURIMAGUAS,1862.0,1664.49,
160706,ANDOAS,3.0,18.16,
