id,Distrito,Personas contagiadas,Incidencia*,Personas fallecidas
250202.0,SEPAHUA,57.0,648.61,
250201.0,RAIMONDI,465.0,1075.67,
250401.0,PURUS,,,
250203.0,TAHUANIA,43.0,369.16,
250204.0,YURUA,6.0,224.8,
250103.0,IPARIA,20.0,149.6,
250301.0,PADRE ABAD,609.0,1912.39,
250305.0,ALEXANDER VON HUMBOLDT,57.0,872.89,
250302.0,IRAZOLA,157.0,1167.11,
250104.0,MASISEA,144.0,1118.1,
250304.0,NESHUYA,163.0,1434.86,
250303.0,CURIMANA,56.0,485.86,
250107.0,MANANTAY,1907.0,1657.04,2.0
250105.0,YARINACOCHA,1752.0,1386.95,5.0
250101.0,CALLERIA,4350.0,2394.04,3.0
250102.0,CAMPOVERDE,220.0,1042.56,
250106.0,NUEVA REQUENA,232.0,3784.67,
,BOQUERON,20.0,385.58,
,HUIPOCA,13.0,298.37,1.0
